,Sport
Boxing,1
Ice Hockey,1
Track and Field: High Jump,1
Track and Field: Long,1
Diving,1
Swimming (all strokes): Distance,1
Skateboarding,1
Track and Field: Sprints,1
Rowing,1
Rodeo: Calf Roping,1
Track and Field: Distance,1
Rodeo: Bull/Bareback/Bronc Riding,1
Track and Field: Middle Distance,1
Weight-Lifting,1
Swimming (all strokes): Sprints,1
Water Skiing,1
Table Tennis,1
Track and Field: Weights,1
Canoe/Kayak,1
Horse Racing,1
Golf,1
Cheerleading,1
Roller Skating,1
Equestrian,1
Archery,1
Curling,1
Bowling,1
Shooting,1
Billiards,1
Auto Racing,1
Skiing: Nordic,1
Badminton,1
Rodeo: Steer Wrestling,1
Football,1
Basketball,1
Wrestling,1
Martial Arts,1
Tennis,1
Gymnastics,1
Baseball/Softball,1
Soccer,1
Skiing: Alpine,1
Water Polo,1
Rugby,1
Lacrosse,1
Track and Field: Pole Vault,1
Ski Jumping,1
Field Hockey,1
Speed Skating,1
Figure Skating,1
Cycling: Distance,1
Volleyball,1
Racquetball/Squash,1
Surfing,1
Fencing,1
Skiing: Freestyle,1
Team Handball,1
Cycling: Sprints,1
Bobsledding/Luge,1
Fishing,1
