,Sport
Aquatics,4170
Athletics,3638
Rowing,2667
Gymnastics,2307
Fencing,1613
Football,1497
Hockey,1422
Wrestling,1212
Shooting,1150
Sailing,1109
Cycling,1105
Basketball,1012
Canoe / Kayak,1002
Volleyball,994
Handball,973
Equestrian,939
Boxing,894
Weightlifting,593
Judo,491
Baseball,335
Archery,329
Tennis,296
Rugby,192
Softball,180
Modern Pentathlon,180
Badminton,144
Table Tennis,144
Taekwondo,112
Tug of War,94
Canoe,81
Polo,66
Lacrosse,59
Golf,30
Skating,27
Ice Hockey,27
Cricket,24
Triathlon,24
Rackets,10
Croquet,8
Water Motorsports,5
Basque Pelota,4
Jeu de paume,3
Roque,3
